Date,close,Open,High,Low,Vol.,Change %
12 09 2004,1733.65,1668.25,1736.40,1668.05,575.77M,3.89%
05 09 2004,1668.75,1634.60,1670.95,1634.45,383.15M,2.12%
29 08 2004,1634.10,1609.45,1641.25,1609.20,390.88M,1.56%
22 08 2004,1609.00,1590.90,1617.25,1573.70,455.92M,1.17%
15 08 2004,1590.35,1598.20,1628.45,1577.25,608.04M,-0.49%
08 08 2004,1598.20,1633.25,1658.90,1591.60,602.55M,-2.16%
01 08 2004,1633.40,1631.55,1658.70,1618.20,613.26M,0.07%
25 07 2004,1632.30,1602.15,1638.70,1584.65,771.70M,1.92%
18 07 2004,1601.60,1559.20,1610.85,1555.55,669.83M,2.75%
11 07 2004,1558.80,1548.60,1569.75,1517.80,551.26M,0.36%
04 07 2004,1553.20,1537.55,1586.55,1472.55,700.85M,1.02%
27 06 2004,1537.50,1488.60,1547.65,1488.60,635.87M,3.29%
20 06 2004,1488.50,1490.75,1499.80,1437.90,558.22M,-0.18%
13 06 2004,1491.20,1508.15,1525.20,1474.65,461.16M,-1.14%
06 06 2004,1508.45,1521.60,1561.60,1504.80,454.19M,-0.83%
30 05 2004,1521.10,1507.05,1566.50,1456.20,540.77M,0.82%
23 05 2004,1508.75,1563.65,1625.70,1504.00,531.38M,-3.30%
16 05 2004,1560.20,1582.50,1591.05,1292.20,653.38M,-1.40%
09 05 2004,1582.40,1804.40,1804.40,1566.95,635.92M,-12.31%
02 05 2004,1804.45,1796.10,1837.95,1742.80,440.23M,0.46%
25 04 2004,1796.10,1890.05,1893.10,1788.30,480.34M,-5.09%
18 04 2004,1892.45,1868.20,1912.35,1832.00,555.05M,1.26%
11 04 2004,1868.95,1860.30,1885.15,1819.80,361.59M,0.83%
04 04 2004,1853.55,1841.10,1878.80,1833.95,392.25M,0.68%
28 03 2004,1841.10,1747.35,1856.30,1739.50,492.64M,5.36%
21 03 2004,1747.50,1726.30,1755.45,1669.70,493.41M,1.30%
14 03 2004,1725.10,1812.45,1836.00,1703.55,576.02M,-4.81%
07 03 2004,1812.20,1868.15,1898.70,1775.90,631.32M,-2.97%
29 02 2004,1867.70,1798.35,1871.10,1795.35,476.40M,3.74%
22 02 2004,1800.30,1853.00,1867.25,1760.55,578.18M,-2.83%
15 02 2004,1852.65,1914.45,1935.80,1831.15,619.11M,-3.19%
08 02 2004,1913.60,1834.90,1916.20,1833.05,576.95M,4.36%
01 02 2004,1833.65,1809.30,1846.75,1755.65,566.67M,1.32%
25 01 2004,1809.75,1847.90,1918.45,1804.30,576.68M,-2.05%
18 01 2004,1847.55,1901.90,1957.65,1756.25,695.59M,-2.79%
11 01 2004,1900.65,1972.00,2000.30,1887.10,584.21M,-3.61%
04 01 2004,1971.90,1946.30,2014.65,1888.10,641.66M,1.33%
28 12 2003,1946.05,1838.05,1951.70,1837.65,581.99M,5.93%
21 12 2003,1837.05,1778.85,1840.35,1751.05,429.14M,3.29%
14 12 2003,1778.55,1699.70,1783.70,1699.70,561.72M,4.69%
07 12 2003,1698.90,1644.85,1705.95,1631.85,461.60M,3.23%
30 11 2003,1645.80,1615.85,1688.25,1615.70,529.83M,1.89%
23 11 2003,1615.25,1541.35,1618.95,1536.50,425.20M,4.84%
16 11 2003,1540.70,1563.10,1591.25,1509.15,532.20M,-0.63%
09 11 2003,1550.45,1603.55,1617.75,1544.75,496.61M,-2.61%
02 11 2003,1592.05,1556.50,1630.25,1556.50,821.16M,2.32%
26 10 2003,1555.90,1522.05,1559.75,1471.30,764.76M,3.31%
19 10 2003,1506.05,1569.70,1574.10,1434.75,801.64M,-4.04%
12 10 2003,1569.45,1523.35,1574.10,1503.00,829.91M,3.04%
